Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/9/12 15:32,1.561,Down,10.5039,,27.0781,
KSBP01,5/9/12 15:33,2.004,Down,10.6697,,26.9475,
KSBP01,5/9/12 15:33,2.507,Down,10.6528,,26.964,
KSBP01,5/9/12 15:33,2.981,Down,10.6381,,26.9766,
KSBP01,5/9/12 15:33,3.505,Down,10.6169,,26.9904,
KSBP01,5/9/12 15:33,4.001,Down,10.6212,,26.9857,
KSBP01,5/9/12 15:33,4.48,Down,10.6179,,26.9913,
KSBP01,5/9/12 15:33,5.014,Down,10.59,,27.0116,
KSBP01,5/9/12 15:33,5.46,Down,10.5327,,27.0536,
KSBP01,5/9/12 15:33,5.93,Down,10.4809,,27.0936,
KSBP01,5/9/12 15:33,6.567,Down,10.2453,,27.2813,
KSBP01,5/9/12 15:33,7.005,Down,10.0744,,27.4639,
KSBP01,5/9/12 15:33,7.503,Down,9.8783,,27.6499,
KSBP01,5/9/12 15:33,8.066,Down,9.8228,,27.6992,
KSBP01,5/9/12 15:33,8.479,Down,9.7538,,27.7621,
KSBP01,5/9/12 15:33,8.972,Down,9.6547,,27.8416,
KSBP01,5/9/12 15:33,9.562,Down,9.5697,,27.9068,
KSBP01,5/9/12 15:33,9.991,Down,9.4734,,27.977,
KSBP01,5/9/12 15:33,10.457,Down,9.4213,,28.0263,
KSBP01,5/9/12 15:33,11.034,Down,9.3981,,28.0492,
KSBP01,5/9/12 15:33,11.505,Down,9.3842,,28.0637,
KSBP01,5/9/12 15:33,11.992,Down,9.3645,,28.0844,
KSBP01,5/9/12 15:33,12.49,Down,9.3514,,28.0985,
KSBP01,5/9/12 15:33,12.982,Down,9.3447,,28.1044,
KSBP01,5/9/12 15:33,13.493,Down,9.3241,,28.1236,
KSBP01,5/9/12 15:33,14.024,Down,9.3128,,28.1346,
KSBP01,5/9/12 15:33,14.441,Down,9.3061,,28.141,
KSBP01,5/9/12 15:34,14.999,Down,9.2951,,28.1516,
KSBP01,5/9/12 15:34,15.573,Down,9.2772,,28.1674,
