Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/6/08 9:01,0.835,Down,9.1964,,29.031,
KSBP01,5/6/08 9:02,1.577,Down,9.2022,,29.0304,
KSBP01,5/6/08 9:02,1.99,Down,9.2029,,29.0287,
KSBP01,5/6/08 9:02,2.463,Down,9.2037,,29.0245,
KSBP01,5/6/08 9:02,3.051,Down,9.2049,,29.0225,
KSBP01,5/6/08 9:02,3.536,Down,9.2033,,29.0268,
KSBP01,5/6/08 9:02,3.991,Down,9.2007,,29.0318,
KSBP01,5/6/08 9:02,4.519,Down,9.196,,29.0414,
KSBP01,5/6/08 9:02,5.039,Down,9.1931,,29.0472,
KSBP01,5/6/08 9:02,5.476,Down,9.1926,,29.0484,
KSBP01,5/6/08 9:02,5.987,Down,9.1846,,29.0673,
KSBP01,5/6/08 9:02,6.526,Down,9.1744,,29.0857,
KSBP01,5/6/08 9:02,7.003,Down,9.151,,29.1123,
KSBP01,5/6/08 9:02,7.491,Down,9.1385,,29.1188,
KSBP01,5/6/08 9:03,7.985,Down,9.1314,,29.1259,
KSBP01,5/6/08 9:03,8.475,Down,9.1342,,29.1233,
KSBP01,5/6/08 9:03,9.009,Down,9.1147,,29.1447,
KSBP01,5/6/08 9:03,9.62,Down,9.1127,,29.1469,
KSBP01,5/6/08 9:03,9.978,Down,9.1039,,29.1569,
KSBP01,5/6/08 9:03,10.445,Down,9.1038,,29.1568,
KSBP01,5/6/08 9:03,11.047,Down,9.11,,29.1493,
KSBP01,5/6/08 9:03,11.615,Down,9.0759,,29.1834,
KSBP01,5/6/08 9:03,12.002,Down,9.0786,,29.1813,
KSBP01,5/6/08 9:03,12.426,Down,9.0773,,29.1826,
KSBP01,5/6/08 9:03,13.001,Down,9.0634,,29.1953,
KSBP01,5/6/08 9:03,13.602,Down,8.9429,,29.2878,
KSBP01,5/6/08 9:03,14.037,Down,8.9449,,29.2847,
KSBP01,5/6/08 9:03,14.419,Down,8.9656,,29.2643,
KSBP01,5/6/08 9:03,14.971,Down,8.9876,,29.2441,
KSBP01,5/6/08 9:03,15.52,Down,9.0193,,29.2297,
KSBP01,5/6/08 9:03,16.079,Down,9.0113,,29.2348,
KSBP01,5/6/08 9:03,16.503,Down,8.971,,29.263,
KSBP01,5/6/08 9:03,17.069,Down,8.9423,,29.2846,
KSBP01,5/6/08 9:03,17.495,Down,8.9358,,29.2916,
KSBP01,5/6/08 9:03,17.851,Down,8.9395,,29.2893,
KSBP01,5/6/08 9:03,18.528,Down,8.9319,,29.2948,
KSBP01,5/6/08 9:03,19.046,Down,8.9344,,29.29,
KSBP01,5/6/08 9:04,19.462,Down,8.944,,29.2813,
KSBP01,5/6/08 9:04,19.925,Down,8.9432,,29.283,
KSBP01,5/6/08 9:04,20.505,Down,8.9251,,29.3037,
KSBP01,5/6/08 9:04,20.978,Down,8.9236,,29.3059,
KSBP01,5/6/08 9:04,20.512,Up,8.9302,,29.2985,
KSBP01,5/6/08 9:04,20.051,Up,8.932,,29.2973,
KSBP01,5/6/08 9:04,19.51,Up,8.9273,,29.3029,
KSBP01,5/6/08 9:04,19.006,Up,8.9265,,29.3046,
KSBP01,5/6/08 9:04,18.519,Up,8.9287,,29.3035,
KSBP01,5/6/08 9:04,17.945,Up,8.9242,,29.3122,
KSBP01,5/6/08 9:04,17.415,Up,8.9181,,29.319,
KSBP01,5/6/08 9:04,16.964,Up,8.9188,,29.3186,
KSBP01,5/6/08 9:04,16.449,Up,8.9234,,29.3156,
KSBP01,5/6/08 9:04,15.984,Up,8.9419,,29.3006,
KSBP01,5/6/08 9:04,15.439,Up,8.965,,29.2816,
KSBP01,5/6/08 9:04,15.009,Up,8.9724,,29.2744,
KSBP01,5/6/08 9:04,14.586,Up,8.9792,,29.2672,
KSBP01,5/6/08 9:04,14.115,Up,8.9833,,29.2616,
KSBP01,5/6/08 9:04,13.619,Up,8.9853,,29.259,
KSBP01,5/6/08 9:05,13.086,Up,8.9909,,29.2542,
KSBP01,5/6/08 9:05,12.577,Up,8.9967,,29.2494,
KSBP01,5/6/08 9:05,12.012,Up,9.0032,,29.244,
KSBP01,5/6/08 9:05,11.438,Up,9.0149,,29.2331,
KSBP01,5/6/08 9:05,10.985,Up,9.018,,29.2301,
KSBP01,5/6/08 9:05,10.554,Up,9.0222,,29.2266,
KSBP01,5/6/08 9:05,10.116,Up,9.0339,,29.2169,
KSBP01,5/6/08 9:05,9.586,Up,9.0674,,29.1881,
KSBP01,5/6/08 9:05,9.021,Up,9.0967,,29.1573,
KSBP01,5/6/08 9:05,8.435,Up,9.117,,29.1348,
KSBP01,5/6/08 9:05,7.878,Up,9.1218,,29.1288,
KSBP01,5/6/08 9:05,7.476,Up,9.1227,,29.1278,
KSBP01,5/6/08 9:05,7.108,Up,9.1246,,29.126,
KSBP01,5/6/08 9:05,6.559,Up,9.1313,,29.118,
KSBP01,5/6/08 9:05,5.993,Up,9.1589,,29.0887,
KSBP01,5/6/08 9:05,5.444,Up,9.1744,,29.0717,
KSBP01,5/6/08 9:05,4.878,Up,9.173,,29.0725,
KSBP01,5/6/08 9:05,4.501,Up,9.1813,,29.0597,
KSBP01,5/6/08 9:05,4.103,Up,9.1831,,29.0574,
KSBP01,5/6/08 9:05,3.57,Up,9.1822,,29.058,
KSBP01,5/6/08 9:06,3.027,Up,9.1839,,29.055,
KSBP01,5/6/08 9:06,2.497,Up,9.1829,,29.0574,
KSBP01,5/6/08 9:06,1.956,Up,9.1861,,29.0498,
KSBP01,5/6/08 9:06,1.446,Up,9.1924,,29.0366,
KSBP01,5/6/08 9:06,0.952,Up,9.1942,,29.0331,
