Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/30/06 9:38,1.046,Down,11.1208,,28.0236,
KSBP01,5/30/06 9:39,1.359,Down,11.0531,,28.1112,
KSBP01,5/30/06 9:40,1.987,Down,10.7621,,28.6471,
KSBP01,5/30/06 9:40,2.521,Down,10.7066,,28.7547,
KSBP01,5/30/06 9:40,3.026,Down,10.7253,,28.7967,
KSBP01,5/30/06 9:40,3.484,Down,10.7327,,28.8107,
KSBP01,5/30/06 9:40,4.026,Down,10.7369,,28.8387,
KSBP01,5/30/06 9:40,4.537,Down,10.7331,,28.86,
KSBP01,5/30/06 9:40,5.017,Down,10.7324,,28.8685,
KSBP01,5/30/06 9:40,5.476,Down,10.7277,,28.8978,
KSBP01,5/30/06 9:40,5.988,Down,10.7086,,28.9461,
KSBP01,5/30/06 9:40,6.534,Down,10.6876,,28.9937,
KSBP01,5/30/06 9:40,6.981,Down,10.6644,,29.0376,
KSBP01,5/30/06 9:40,7.487,Down,10.6461,,29.0785,
KSBP01,5/30/06 9:40,8.019,Down,10.6326,,29.0946,
KSBP01,5/30/06 9:40,8.493,Down,10.5916,,29.1066,
KSBP01,5/30/06 9:40,8.968,Down,10.5718,,29.1223,
KSBP01,5/30/06 9:40,9.534,Down,10.5815,,29.1347,
KSBP01,5/30/06 9:40,10.024,Down,10.5223,,29.1644,
KSBP01,5/30/06 9:40,10.466,Down,10.4828,,29.1782,
KSBP01,5/30/06 9:40,11.021,Down,10.4753,,29.1836,
KSBP01,5/30/06 9:40,11.504,Down,10.472,,29.1842,
KSBP01,5/30/06 9:40,12.016,Down,10.4438,,29.1849,
KSBP01,5/30/06 9:40,12.473,Down,10.3608,,29.1859,
KSBP01,5/30/06 9:40,13.009,Down,10.2942,,29.1845,
KSBP01,5/30/06 9:40,13.529,Down,10.2751,,29.183,
KSBP01,5/30/06 9:40,13.968,Down,10.2648,,29.1815,
KSBP01,5/30/06 9:40,14.52,Down,10.2561,,29.1817,
KSBP01,5/30/06 9:40,15.002,Down,10.2472,,29.1837,
KSBP01,5/30/06 9:40,15.52,Down,10.2422,,29.1852,
KSBP01,5/30/06 9:41,15.972,Down,10.2382,,29.1861,
KSBP01,5/30/06 9:41,16.538,Down,10.202,,29.1961,
KSBP01,5/30/06 9:41,17.017,Down,10.1929,,29.2197,
KSBP01,5/30/06 9:41,17.485,Down,10.1855,,29.2261,
KSBP01,5/30/06 9:41,17.999,Down,10.1774,,29.2349,
KSBP01,5/30/06 9:41,18.51,Down,10.1626,,29.2445,
KSBP01,5/30/06 9:41,19.019,Down,10.1791,,29.2604,
KSBP01,5/30/06 9:41,19.489,Down,10.1979,,29.2716,
KSBP01,5/30/06 9:41,19.964,Down,10.1788,,29.2743,
KSBP01,5/30/06 9:41,20.509,Down,10.1722,,29.2753,
KSBP01,5/30/06 9:41,20.997,Down,10.1546,,29.2815,
KSBP01,5/30/06 9:41,21.473,Down,10.0723,,29.3106,
KSBP01,5/30/06 9:41,22.002,Down,10.0517,,29.3153,
KSBP01,5/30/06 9:41,22.509,Down,10.045,,29.3186,
KSBP01,5/30/06 9:41,22.989,Down,10.0435,,29.3198,
KSBP01,5/30/06 9:41,23.485,Down,10.0392,,29.3211,
KSBP01,5/30/06 9:41,24.002,Down,10.0387,,29.3216,
KSBP01,5/30/06 9:41,24.478,Down,10.0385,,29.3216,
KSBP01,5/30/06 9:41,24.988,Down,10.039,,29.3219,
KSBP01,5/30/06 9:41,25.493,Down,10.0405,,29.3222,
KSBP01,5/30/06 9:41,25.994,Down,10.0406,,29.3225,
KSBP01,5/30/06 9:41,26.502,Down,10.0394,,29.3233,
KSBP01,5/30/06 9:41,26.987,Down,10.0386,,29.324,
KSBP01,5/30/06 9:41,27.504,Down,10.0387,,29.324,
KSBP01,5/30/06 9:41,28.035,Down,10.0361,,29.3255,
KSBP01,5/30/06 9:41,28.486,Down,10.0331,,29.3292,
KSBP01,5/30/06 9:41,28.966,Down,10.0325,,29.3315,
KSBP01,5/30/06 9:41,29.503,Down,10.0326,,29.3319,
KSBP01,5/30/06 9:41,29.99,Down,10.0327,,29.333,
KSBP01,5/30/06 9:41,30.455,Down,10.0325,,29.3343,
KSBP01,5/30/06 9:41,30.988,Down,10.0315,,29.337,
KSBP01,5/30/06 9:41,31.489,Down,10.0207,,29.3473,
KSBP01,5/30/06 9:41,31.969,Down,10.0155,,29.3508,
KSBP01,5/30/06 9:41,32.509,Down,10.0122,,29.3533,
KSBP01,5/30/06 9:41,33.002,Down,10.0108,,29.3544,
KSBP01,5/30/06 9:41,33.482,Down,10.006,,29.3567,
KSBP01,5/30/06 9:41,34.012,Down,10.0021,,29.3585,
KSBP01,5/30/06 9:41,34.505,Down,10.0037,,29.3578,
