Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/6/09 11:34,0.422,Down,8.967,,29.1206,
KSBP01,5/6/09 11:34,1.124,Down,8.9045,,29.1431,
KSBP01,5/6/09 11:36,1.358,Down,8.8644,,29.1282,
KSBP01,5/6/09 11:37,2.022,Down,8.848,,29.1476,
KSBP01,5/6/09 11:37,2.497,Down,8.8444,,29.1675,
KSBP01,5/6/09 11:37,3.018,Down,8.8363,,29.1927,
KSBP01,5/6/09 11:37,3.509,Down,8.8306,,29.2138,
KSBP01,5/6/09 11:37,4.018,Down,8.828,,29.2485,
KSBP01,5/6/09 11:37,4.48,Down,8.826,,29.268,
KSBP01,5/6/09 11:37,4.975,Down,8.8043,,29.3132,
KSBP01,5/6/09 11:38,5.599,Down,8.781,,29.3697,
KSBP01,5/6/09 11:38,5.985,Down,8.7549,,29.4387,
KSBP01,5/6/09 11:38,6.475,Down,8.7235,,29.4755,
KSBP01,5/6/09 11:38,7.009,Down,8.7077,,29.5146,
KSBP01,5/6/09 11:38,7.482,Down,8.7024,,29.5539,
KSBP01,5/6/09 11:38,8.028,Down,8.6963,,29.5643,
KSBP01,5/6/09 11:38,8.464,Down,8.6841,,29.5739,
KSBP01,5/6/09 11:38,9.091,Down,8.668,,29.5831,
KSBP01,5/6/09 11:38,9.481,Down,8.6535,,29.589,
KSBP01,5/6/09 11:38,10,Down,8.6492,,29.5894,
KSBP01,5/6/09 11:38,10.473,Down,8.6476,,29.5888,
KSBP01,5/6/09 11:38,10.959,Down,8.6462,,29.5877,
KSBP01,5/6/09 11:38,11.497,Down,8.645,,29.5879,
KSBP01,5/6/09 11:38,12.006,Down,8.6427,,29.5884,
KSBP01,5/6/09 11:38,12.487,Down,8.6415,,29.5883,
KSBP01,5/6/09 11:38,13.012,Down,8.6426,,29.5874,
KSBP01,5/6/09 11:38,13.434,Down,8.6421,,29.5886,
KSBP01,5/6/09 11:38,14.064,Down,8.6364,,29.5916,
KSBP01,5/6/09 11:38,14.435,Down,8.6432,,29.5888,
KSBP01,5/6/09 11:38,15.033,Down,8.6422,,29.5892,
KSBP01,5/6/09 11:38,15.491,Down,8.6293,,29.5973,
KSBP01,5/6/09 11:38,15.966,Down,8.6198,,29.6041,
KSBP01,5/6/09 11:38,16.515,Down,8.6191,,29.6044,
KSBP01,5/6/09 11:38,16.921,Down,8.6183,,29.6047,
KSBP01,5/6/09 11:38,17.558,Down,8.6156,,29.6085,
KSBP01,5/6/09 11:38,17.951,Down,8.6135,,29.6091,
KSBP01,5/6/09 11:38,18.569,Down,8.6042,,29.6119,
KSBP01,5/6/09 11:38,18.975,Down,8.5954,,29.6132,
KSBP01,5/6/09 11:38,19.448,Down,8.5892,,29.6138,
KSBP01,5/6/09 11:38,20.085,Down,8.5822,,29.6157,
KSBP01,5/6/09 11:39,20.432,Down,8.5802,,29.6174,
KSBP01,5/6/09 11:39,19.989,Up,8.5791,,29.6185,
KSBP01,5/6/09 11:39,19.525,Up,8.5807,,29.6171,
KSBP01,5/6/09 11:39,19.07,Up,8.5823,,29.6155,
KSBP01,5/6/09 11:39,18.465,Up,8.5856,,29.6139,
KSBP01,5/6/09 11:39,17.884,Up,8.5901,,29.6135,
KSBP01,5/6/09 11:39,17.563,Up,8.5935,,29.6129,
KSBP01,5/6/09 11:39,17.036,Up,8.594,,29.6118,
KSBP01,5/6/09 11:39,16.443,Up,8.5951,,29.6116,
KSBP01,5/6/09 11:39,15.924,Up,8.6022,,29.6088,
KSBP01,5/6/09 11:39,15.461,Up,8.6075,,29.6081,
KSBP01,5/6/09 11:39,15.084,Up,8.6161,,29.6058,
KSBP01,5/6/09 11:39,14.566,Up,8.6238,,29.6,
KSBP01,5/6/09 11:39,14.009,Up,8.6357,,29.5926,
KSBP01,5/6/09 11:39,13.498,Up,8.6399,,29.59,
KSBP01,5/6/09 11:39,12.972,Up,8.6426,,29.5885,
KSBP01,5/6/09 11:39,12.454,Up,8.6421,,29.5892,
KSBP01,5/6/09 11:39,11.91,Up,8.6456,,29.5875,
KSBP01,5/6/09 11:39,11.497,Up,8.6482,,29.5875,
KSBP01,5/6/09 11:39,11.072,Up,8.6489,,29.5867,
KSBP01,5/6/09 11:39,10.555,Up,8.6518,,29.5861,
KSBP01,5/6/09 11:39,10.041,Up,8.6605,,29.5824,
KSBP01,5/6/09 11:39,9.503,Up,8.671,,29.5786,
KSBP01,5/6/09 11:39,8.96,Up,8.6844,,29.5731,
KSBP01,5/6/09 11:39,8.47,Up,8.688,,29.572,
KSBP01,5/6/09 11:40,7.925,Up,8.6911,,29.5696,
KSBP01,5/6/09 11:40,7.448,Up,8.6928,,29.5692,
KSBP01,5/6/09 11:40,7.001,Up,8.6997,,29.5651,
KSBP01,5/6/09 11:40,6.493,Up,8.7156,,29.5576,
KSBP01,5/6/09 11:40,6.02,Up,8.7385,,29.5256,
KSBP01,5/6/09 11:40,5.47,Up,8.7714,,29.453,
KSBP01,5/6/09 11:40,4.979,Up,8.7818,,29.4257,
KSBP01,5/6/09 11:40,4.486,Up,8.7962,,29.3875,
KSBP01,5/6/09 11:40,4.006,Up,8.8106,,29.34,
KSBP01,5/6/09 11:40,3.516,Up,8.8283,,29.2856,
KSBP01,5/6/09 11:40,2.965,Up,8.8352,,29.2623,
KSBP01,5/6/09 11:40,2.461,Up,8.841,,29.2449,
KSBP01,5/6/09 11:40,2.012,Up,8.8457,,29.2335,
KSBP01,5/6/09 11:40,1.514,Up,8.853,,29.2202,
KSBP01,5/6/09 11:40,1.036,Up,8.8683,,29.2001,
KSBP01,5/6/09 11:40,0.476,Up,8.9273,,29.1462,
KSBP01,5/18/09 9:49,0.583,Down,12.6588,,23.7992,
KSBP01,5/18/09 9:51,0.93,Down,12.6173,,23.8917,
KSBP01,5/18/09 9:52,1.493,Down,12.4035,,24.34,
KSBP01,5/18/09 9:52,2.016,Down,11.8569,,25.5077,
KSBP01,5/18/09 9:52,2.485,Down,11.4359,,26.5323,
KSBP01,5/18/09 9:52,3,Down,11.2998,,27.0125,
KSBP01,5/18/09 9:52,3.512,Down,10.9378,,27.5214,
KSBP01,5/18/09 9:52,3.959,Down,10.7526,,27.7825,
