Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/5/10 9:14,0.678,Down,9.7665,,28.1647,
KSBP01,5/5/10 9:17,0.914,Down,9.7425,,28.3257,
KSBP01,5/5/10 9:19,1.442,Down,9.722,,28.4299,
KSBP01,5/5/10 9:19,1.993,Down,9.7147,,28.5484,
KSBP01,5/5/10 9:19,2.491,Down,9.7106,,28.6293,
KSBP01,5/5/10 9:19,2.939,Down,9.7104,,28.646,
KSBP01,5/5/10 9:19,3.478,Down,9.7053,,28.6822,
KSBP01,5/5/10 9:19,4.032,Down,9.7015,,28.7165,
KSBP01,5/5/10 9:19,4.513,Down,9.6988,,28.7389,
KSBP01,5/5/10 9:19,4.978,Down,9.6992,,28.7371,
KSBP01,5/5/10 9:19,5.504,Down,9.6894,,28.7906,
KSBP01,5/5/10 9:19,6.043,Down,9.658,,28.8709,
KSBP01,5/5/10 9:20,6.544,Down,9.6189,,28.9864,
KSBP01,5/5/10 9:20,6.96,Down,9.6516,,29.0375,
KSBP01,5/5/10 9:20,7.507,Down,9.6368,,29.1034,
KSBP01,5/5/10 9:20,8.09,Down,9.5921,,29.1356,
KSBP01,5/5/10 9:20,8.555,Down,9.5827,,29.1452,
KSBP01,5/5/10 9:20,9.026,Down,9.5675,,29.1638,
KSBP01,5/5/10 9:20,9.523,Down,9.5546,,29.1773,
KSBP01,5/5/10 9:20,10.01,Down,9.5465,,29.1861,
KSBP01,5/5/10 9:20,10.5,Down,9.5445,,29.1938,
KSBP01,5/5/10 9:20,10.994,Down,9.5444,,29.1953,
KSBP01,5/5/10 9:20,11.475,Down,9.5432,,29.2002,
KSBP01,5/5/10 9:20,11.95,Down,9.5351,,29.211,
KSBP01,5/5/10 9:20,12.438,Down,9.5319,,29.2147,
KSBP01,5/5/10 9:20,12.924,Down,9.5283,,29.2185,
KSBP01,5/5/10 9:20,13.472,Down,9.5266,,29.2198,
KSBP01,5/5/10 9:20,14.038,Down,9.5237,,29.2223,
KSBP01,5/5/10 9:20,14.503,Down,9.5197,,29.2253,
KSBP01,5/5/10 9:21,14.961,Down,9.5147,,29.2291,
KSBP01,5/5/10 9:21,15.435,Down,9.508,,29.2347,
KSBP01,5/5/10 9:21,15.946,Down,9.4991,,29.2417,
KSBP01,5/5/10 9:21,16.456,Down,9.4916,,29.247,
KSBP01,5/5/10 9:21,16.909,Down,9.4834,,29.2544,
KSBP01,5/5/10 9:21,17.477,Down,9.4739,,29.2697,
KSBP01,5/5/10 9:21,18.068,Down,9.4705,,29.2784,
KSBP01,5/5/10 9:21,18.555,Down,9.4705,,29.2795,
KSBP01,5/5/10 9:21,19.031,Down,9.4715,,29.2842,
KSBP01,5/5/10 9:21,19.515,Down,9.4726,,29.2899,
KSBP01,5/5/10 9:21,19.985,Down,9.4725,,29.2925,
KSBP01,5/5/10 9:21,20.475,Down,9.4707,,29.2958,
KSBP01,5/5/10 9:21,20.979,Down,9.4673,,29.3047,
KSBP01,5/5/10 9:21,21.506,Down,9.4603,,29.3084,
KSBP01,5/5/10 9:21,22.026,Down,9.4598,,29.3113,
KSBP01,5/5/10 9:21,22.558,Down,9.4571,,29.3148,
KSBP01,5/5/10 9:21,23.045,Down,9.4546,,29.3173,
KSBP01,5/5/10 9:22,23.515,Down,9.4513,,29.3185,
KSBP01,5/5/10 9:22,24.05,Down,9.4485,,29.3185,
KSBP01,5/5/10 9:22,24.5,Down,9.4493,,29.3184,
KSBP01,5/5/10 9:22,25.037,Down,9.4471,,29.3192,
KSBP01,5/5/10 9:22,25.585,Down,9.4463,,29.3198,
KSBP01,5/5/10 9:22,26.034,Down,9.4465,,29.3207,
KSBP01,5/5/10 9:22,26.521,Down,9.4471,,29.3209,
KSBP01,5/5/10 9:22,26.996,Down,9.446,,29.3227,
KSBP01,5/5/10 9:22,27.484,Down,9.4394,,29.3241,
KSBP01,5/5/10 9:22,27.995,Down,9.4398,,29.324,
KSBP01,5/5/10 9:22,28.484,Down,9.4373,,29.3245,
KSBP01,5/5/10 9:22,29.063,Down,9.4383,,29.3243,
KSBP01,5/5/10 9:22,29.275,Down,9.4385,,29.3245,
KSBP01,5/5/10 9:22,28.985,Up,9.4384,,29.3244,
KSBP01,5/5/10 9:22,28.541,Up,9.4433,,29.3233,
KSBP01,5/5/10 9:23,27.997,Up,9.4422,,29.3234,
KSBP01,5/5/10 9:23,27.436,Up,9.4464,,29.3199,
KSBP01,5/5/10 9:23,26.962,Up,9.447,,29.319,
KSBP01,5/5/10 9:23,26.492,Up,9.4472,,29.3191,
KSBP01,5/5/10 9:23,26.021,Up,9.4473,,29.3196,
KSBP01,5/5/10 9:23,25.535,Up,9.4478,,29.3202,
KSBP01,5/5/10 9:23,25.005,Up,9.4477,,29.3193,
KSBP01,5/5/10 9:23,24.498,Up,9.449,,29.3166,
KSBP01,5/5/10 9:23,24.051,Up,9.4516,,29.3143,
KSBP01,5/5/10 9:23,23.537,Up,9.4512,,29.3129,
KSBP01,5/5/10 9:23,23.008,Up,9.4535,,29.3093,
KSBP01,5/5/10 9:23,22.487,Up,9.4603,,29.3045,
KSBP01,5/5/10 9:23,21.98,Up,9.462,,29.3026,
KSBP01,5/5/10 9:23,21.545,Up,9.4616,,29.303,
KSBP01,5/5/10 9:23,21.034,Up,9.4623,,29.3022,
KSBP01,5/5/10 9:23,20.475,Up,9.4665,,29.2986,
KSBP01,5/5/10 9:24,19.993,Up,9.4685,,29.2927,
KSBP01,5/5/10 9:24,19.52,Up,9.4668,,29.2899,
KSBP01,5/5/10 9:24,18.991,Up,9.4662,,29.2895,
KSBP01,5/5/10 9:24,18.48,Up,9.4663,,29.2895,
KSBP01,5/5/10 9:24,17.995,Up,9.4665,,29.2879,
KSBP01,5/5/10 9:24,17.492,Up,9.4668,,29.2848,
KSBP01,5/5/10 9:24,17.074,Up,9.4662,,29.2807,
KSBP01,5/5/10 9:24,16.523,Up,9.4662,,29.2754,
KSBP01,5/5/10 9:24,15.952,Up,9.4729,,29.2604,
KSBP01,5/5/10 9:24,15.493,Up,9.4748,,29.2555,
KSBP01,5/5/10 9:24,14.987,Up,9.4762,,29.2502,
KSBP01,5/5/10 9:24,14.484,Up,9.4777,,29.2436,
KSBP01,5/5/10 9:24,14.036,Up,9.4788,,29.2403,
KSBP01,5/5/10 9:24,13.473,Up,9.4799,,29.2371,
KSBP01,5/5/10 9:24,12.946,Up,9.4846,,29.2303,
KSBP01,5/5/10 9:24,12.477,Up,9.4908,,29.2264,
KSBP01,5/5/10 9:25,12.031,Up,9.4972,,29.2228,
KSBP01,5/5/10 9:25,11.557,Up,9.4996,,29.2215,
KSBP01,5/5/10 9:25,10.993,Up,9.509,,29.2166,
KSBP01,5/5/10 9:25,10.506,Up,9.5189,,29.2101,
KSBP01,5/5/10 9:25,10.005,Up,9.5428,,29.1829,
KSBP01,5/5/10 9:25,9.502,Up,9.5522,,29.1692,
KSBP01,5/5/10 9:25,9.013,Up,9.5547,,29.1654,
KSBP01,5/5/10 9:25,8.508,Up,9.5503,,29.1721,
KSBP01,5/5/10 9:25,7.972,Up,9.5491,,29.1735,
KSBP01,5/5/10 9:25,7.461,Up,9.5675,,29.1445,
KSBP01,5/5/10 9:25,7.001,Up,9.6001,,29.087,
KSBP01,5/5/10 9:25,6.519,Up,9.6045,,29.0461,
KSBP01,5/5/10 9:25,6.002,Up,9.5981,,29.0459,
KSBP01,5/5/10 9:25,5.492,Up,9.5966,,29.0468,
KSBP01,5/5/10 9:25,4.992,Up,9.6301,,28.9688,
KSBP01,5/5/10 9:25,4.537,Up,9.6504,,28.9181,
KSBP01,5/5/10 9:26,4.008,Up,9.6585,,28.8879,
KSBP01,5/5/10 9:26,3.502,Up,9.6782,,28.8037,
KSBP01,5/5/10 9:26,3.011,Up,9.6751,,28.8041,
KSBP01,5/5/10 9:26,2.541,Up,9.6792,,28.7832,
KSBP01,5/5/10 9:26,2.016,Up,9.6949,,28.7164,
KSBP01,5/5/10 9:26,1.45,Up,9.7036,,28.6768,
KSBP01,5/5/10 9:26,0.909,Up,9.7139,,28.6339,
KSBP01,5/5/10 9:26,0.542,Up,9.754,,28.4393,
KSBP01,5/18/10 10:53,1.527,Down,11.3143,,28.6938,
KSBP01,5/18/10 10:55,1.862,Down,11.3241,,28.68,
KSBP01,5/18/10 10:56,2.502,Down,11.3207,,28.6832,
KSBP01,5/18/10 10:56,2.97,Down,11.3179,,28.6805,
KSBP01,5/18/10 10:56,3.464,Down,11.2994,,28.6828,
KSBP01,5/18/10 10:56,4.013,Down,11.2986,,28.6787,
KSBP01,5/18/10 10:56,4.559,Down,11.2917,,28.6775,
KSBP01,5/18/10 10:56,5.042,Down,11.2645,,28.6804,
KSBP01,5/18/10 10:56,5.513,Down,11.2643,,28.6782,
KSBP01,5/18/10 10:56,6.002,Down,10.8553,,28.8472,
KSBP01,5/18/10 10:56,6.475,Down,10.7416,,28.8789,
KSBP01,5/18/10 10:56,6.948,Down,10.7558,,28.8909,
KSBP01,5/18/10 10:56,7.43,Down,10.7531,,28.8934,
KSBP01,5/18/10 10:56,7.965,Down,10.615,,28.9377,
KSBP01,5/18/10 10:56,8.534,Down,10.6949,,28.8822,
KSBP01,5/18/10 10:56,8.983,Down,10.6806,,28.8871,
KSBP01,5/18/10 10:56,9.429,Down,10.6305,,28.9047,
KSBP01,5/18/10 10:56,9.959,Down,10.5884,,28.9204,
KSBP01,5/18/10 10:56,10.467,Down,10.5448,,28.9374,
KSBP01,5/18/10 10:56,10.926,Down,10.5221,,28.9473,
KSBP01,5/18/10 10:56,11.496,Down,10.5108,,28.9534,
KSBP01,5/18/10 10:57,12.102,Down,10.4937,,28.9652,
KSBP01,5/18/10 10:57,12.506,Down,10.4991,,28.9619,
KSBP01,5/18/10 10:57,13.02,Down,10.5027,,28.9598,
KSBP01,5/18/10 10:57,13.504,Down,10.4935,,28.9647,
KSBP01,5/18/10 10:57,14.008,Down,10.489,,28.967,
KSBP01,5/18/10 10:57,14.532,Down,10.472,,28.977,
KSBP01,5/18/10 10:57,15.028,Down,10.4522,,28.9902,
KSBP01,5/18/10 10:57,15.518,Down,10.4399,,29.0001,
KSBP01,5/18/10 10:57,16.021,Down,10.3976,,29.0271,
KSBP01,5/18/10 10:57,16.554,Down,10.3702,,29.0428,
KSBP01,5/18/10 10:57,16.974,Down,10.292,,29.0867,
KSBP01,5/18/10 10:57,17.476,Down,10.2428,,29.1112,
KSBP01,5/18/10 10:57,17.942,Down,10.2394,,29.1128,
KSBP01,5/18/10 10:57,18.531,Down,10.238,,29.1138,
KSBP01,5/18/10 10:57,19.059,Down,10.2153,,29.1256,
KSBP01,5/18/10 10:57,19.472,Down,10.2225,,29.1216,
KSBP01,5/18/10 10:57,20.011,Down,10.2232,,29.1218,
KSBP01,5/18/10 10:57,20.45,Down,10.2117,,29.1273,
KSBP01,5/18/10 10:57,20.976,Down,10.2095,,29.1287,
