Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/21/07 13:23,0.605,Down,10.56,,28.7679,
KSBP01,5/21/07 13:24,0.852,Down,10.4653,,28.7747,
KSBP01,5/21/07 13:26,1.39,Down,10.3732,,28.7864,
KSBP01,5/21/07 13:26,2.009,Down,10.2599,,28.792,
KSBP01,5/21/07 13:26,2.433,Down,10.2352,,28.7971,
KSBP01,5/21/07 13:26,3.008,Down,10.1957,,28.8031,
KSBP01,5/21/07 13:26,3.52,Down,10.1811,,28.8066,
KSBP01,5/21/07 13:26,3.98,Down,10.1737,,28.8082,
KSBP01,5/21/07 13:26,4.535,Down,10.1473,,28.831,
KSBP01,5/21/07 13:26,4.994,Down,10.1218,,28.8814,
KSBP01,5/21/07 13:26,5.525,Down,10.1313,,28.8861,
KSBP01,5/21/07 13:26,5.958,Down,10.1467,,28.8973,
KSBP01,5/21/07 13:26,6.533,Down,10.1293,,28.9212,
KSBP01,5/21/07 13:26,7.01,Down,10.0726,,28.938,
KSBP01,5/21/07 13:26,7.525,Down,10.0304,,28.9508,
KSBP01,5/21/07 13:26,8.003,Down,9.9888,,28.9701,
KSBP01,5/21/07 13:26,8.541,Down,9.9462,,29.0014,
KSBP01,5/21/07 13:26,8.958,Down,9.9405,,29.0053,
KSBP01,5/21/07 13:26,9.557,Down,9.9182,,29.0238,
KSBP01,5/21/07 13:26,9.986,Down,9.9106,,29.0304,
KSBP01,5/21/07 13:26,10.509,Down,9.8987,,29.0386,
KSBP01,5/21/07 13:26,11.011,Down,9.8646,,29.0601,
KSBP01,5/21/07 13:26,11.499,Down,9.8486,,29.0671,
KSBP01,5/21/07 13:26,11.989,Down,9.8407,,29.0695,
KSBP01,5/21/07 13:26,12.494,Down,9.8343,,29.0718,
KSBP01,5/21/07 13:26,13.004,Down,9.8291,,29.0739,
KSBP01,5/21/07 13:26,13.441,Down,9.8253,,29.0741,
KSBP01,5/21/07 13:26,13.996,Down,9.8099,,29.081,
KSBP01,5/21/07 13:26,14.494,Down,9.7971,,29.0874,
KSBP01,5/21/07 13:26,14.964,Down,9.7932,,29.0885,
KSBP01,5/21/07 13:26,15.517,Down,9.7833,,29.0916,
KSBP01,5/21/07 13:26,16.022,Down,9.7816,,29.0914,
KSBP01,5/21/07 13:26,16.491,Down,9.7812,,29.0919,
KSBP01,5/21/07 13:26,17.008,Down,9.7801,,29.0919,
KSBP01,5/21/07 13:26,17.477,Down,9.7788,,29.0925,
KSBP01,5/21/07 13:26,18.023,Down,9.7773,,29.0928,
KSBP01,5/21/07 13:27,18.482,Down,9.7772,,29.0933,
KSBP01,5/21/07 13:27,19.019,Down,9.7789,,29.0928,
KSBP01,5/21/07 13:27,19.51,Down,9.776,,29.0938,
KSBP01,5/21/07 13:27,19.971,Down,9.7757,,29.094,
KSBP01,5/21/07 13:27,20.508,Down,9.7757,,29.0936,
KSBP01,5/21/07 13:27,21.045,Down,9.7748,,29.0959,
KSBP01,5/21/07 13:27,21.454,Down,9.7739,,29.0975,
KSBP01,5/21/07 13:27,22.06,Down,9.7717,,29.1021,
KSBP01,5/21/07 13:27,22.47,Down,9.7718,,29.1061,
KSBP01,5/21/07 13:27,23.02,Down,9.7637,,29.1194,
KSBP01,5/21/07 13:27,23.512,Down,9.7498,,29.1268,
KSBP01,5/21/07 13:27,23.994,Down,9.7411,,29.1299,
KSBP01,5/21/07 13:27,24.506,Down,9.7331,,29.1358,
KSBP01,5/21/07 13:27,24.98,Down,9.7337,,29.138,
KSBP01,5/21/07 13:27,25.509,Down,9.7337,,29.1416,
KSBP01,5/21/07 13:27,25.979,Down,9.7333,,29.1421,
KSBP01,5/21/07 13:27,26.489,Down,9.7319,,29.1458,
KSBP01,5/21/07 13:27,27.013,Down,9.7315,,29.1479,
KSBP01,5/21/07 13:27,27.482,Down,9.7316,,29.1481,
KSBP01,5/21/07 13:27,27.987,Down,9.7316,,29.149,
KSBP01,5/21/07 13:27,28.491,Down,9.7326,,29.1496,
KSBP01,5/21/07 13:27,28.967,Down,9.7334,,29.1501,
KSBP01,5/21/07 13:27,29.496,Down,9.7332,,29.151,
KSBP01,5/21/07 13:27,29.995,Down,9.7323,,29.1517,
KSBP01,5/21/07 13:27,30.492,Down,9.7301,,29.1537,
KSBP01,5/21/07 13:27,30.948,Down,9.7221,,29.1602,
KSBP01,5/21/07 13:27,31.47,Down,9.7142,,29.1666,
KSBP01,5/21/07 13:27,32.004,Down,9.6967,,29.1808,
KSBP01,5/21/07 13:27,32.481,Down,9.6758,,29.1969,
KSBP01,5/21/07 13:27,33.036,Down,9.6469,,29.2255,
KSBP01,5/21/07 13:27,33.542,Down,9.6282,,29.25,
