Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/8/13 8:45,1.466,Down,11.4389,,27.1374,
KSBP01,5/8/13 8:46,2.069,Down,11.4213,,27.1743,
KSBP01,5/8/13 8:46,2.525,Down,11.4194,,27.1879,
KSBP01,5/8/13 8:46,3.044,Down,11.4403,,27.2489,
KSBP01,5/8/13 8:46,3.536,Down,11.4308,,27.2886,
KSBP01,5/8/13 8:46,4.002,Down,11.3989,,27.3297,
KSBP01,5/8/13 8:46,4.555,Down,11.341,,27.3718,
KSBP01,5/8/13 8:46,5.035,Down,11.1539,,27.4813,
KSBP01,5/8/13 8:46,5.502,Down,11.0152,,27.5718,
KSBP01,5/8/13 8:46,5.973,Down,10.7182,,27.7885,
KSBP01,5/8/13 8:46,6.473,Down,10.5277,,27.9382,
KSBP01,5/8/13 8:46,6.968,Down,10.4977,,27.9786,
KSBP01,5/8/13 8:46,7.477,Down,10.5027,,28.0011,
KSBP01,5/8/13 8:46,7.964,Down,10.6477,,28.0438,
KSBP01,5/8/13 8:46,8.472,Down,10.6871,,28.0744,
KSBP01,5/8/13 8:46,8.992,Down,10.678,,28.0943,
KSBP01,5/8/13 8:46,9.498,Down,10.6692,,28.1064,
KSBP01,5/8/13 8:47,10.069,Down,10.6636,,28.1189,
KSBP01,5/8/13 8:47,10.52,Down,10.6571,,28.1223,
KSBP01,5/8/13 8:47,11.004,Down,10.6182,,28.1477,
KSBP01,5/8/13 8:47,11.508,Down,10.5813,,28.1753,
KSBP01,5/8/13 8:47,12.01,Down,10.5698,,28.182,
KSBP01,5/8/13 8:47,12.538,Down,10.5839,,28.1732,
KSBP01,5/8/13 8:47,12.993,Down,10.5816,,28.1747,
KSBP01,5/8/13 8:47,13.523,Down,10.5399,,28.2049,
KSBP01,5/8/13 8:47,13.978,Down,10.5334,,28.2087,
KSBP01,5/8/13 8:47,14.448,Down,10.5302,,28.2112,
KSBP01,5/8/13 8:47,14.988,Down,10.532,,28.2098,
KSBP01,5/8/13 8:47,15.457,Down,10.4882,,28.2408,
KSBP01,5/8/13 8:47,16.011,Down,10.4019,,28.3001,
KSBP01,5/8/13 8:47,16.524,Down,10.1704,,28.4451,
KSBP01,5/8/13 8:47,17.016,Down,10.0398,,28.5305,
