Locator,Sample_Date,Sample_Depth,UpDown,Sample_Temperature_field,ST_Qual,Salinity_field,SA_Qual
KSBP01,5/4/11 9:06,1.535,Down,9.482,,27.238,
KSBP01,5/4/11 9:08,1.854,Down,9.4814,,27.25,
KSBP01,5/4/11 9:08,2.511,Down,9.4709,,27.2496,
KSBP01,5/4/11 9:08,2.995,Down,9.4604,,27.2489,
KSBP01,5/4/11 9:09,3.489,Down,9.4554,,27.2495,
KSBP01,5/4/11 9:09,3.975,Down,9.4532,,27.2509,
KSBP01,5/4/11 9:09,4.512,Down,9.4622,,27.263,
KSBP01,5/4/11 9:09,5.017,Down,9.5107,,27.2944,
KSBP01,5/4/11 9:09,5.489,Down,9.5706,,27.389,
KSBP01,5/4/11 9:09,5.965,Down,9.5909,,27.4314,
KSBP01,5/4/11 9:09,6.476,Down,9.6044,,27.4905,
KSBP01,5/4/11 9:09,7.005,Down,9.4993,,27.496,
KSBP01,5/4/11 9:09,7.494,Down,9.4516,,27.5064,
KSBP01,5/4/11 9:09,7.984,Down,9.4334,,27.5603,
KSBP01,5/4/11 9:09,8.494,Down,9.4293,,27.6629,
KSBP01,5/4/11 9:09,8.969,Down,9.4376,,27.696,
KSBP01,5/4/11 9:09,9.477,Down,9.4391,,27.746,
KSBP01,5/4/11 9:10,9.997,Down,9.2958,,27.8559,
KSBP01,5/4/11 9:10,10.495,Down,9.2493,,27.887,
KSBP01,5/4/11 9:10,11.008,Down,9.2413,,27.8988,
KSBP01,5/4/11 9:10,11.528,Down,9.2003,,27.9606,
KSBP01,5/4/11 9:10,11.978,Down,9.1696,,28.0004,
KSBP01,5/4/11 9:10,12.488,Down,9.1682,,28.0034,
KSBP01,5/4/11 9:10,13.021,Down,9.1657,,28.0061,
KSBP01,5/4/11 9:10,13.495,Down,9.1382,,28.0356,
KSBP01,5/4/11 9:10,13.964,Down,8.9859,,28.1395,
KSBP01,5/4/11 9:10,14.492,Down,8.9437,,28.1674,
KSBP01,5/4/11 9:10,14.957,Down,8.8988,,28.1754,
KSBP01,5/4/11 9:10,15.477,Down,8.8033,,28.2206,
KSBP01,5/4/11 9:10,16.043,Down,8.7738,,28.242,
KSBP01,5/4/11 9:10,16.539,Down,8.7555,,28.2607,
KSBP01,5/4/11 9:10,16.995,Down,8.7522,,28.2748,
KSBP01,5/4/11 9:10,17.52,Down,8.7007,,28.3264,
KSBP01,5/4/11 9:11,17.984,Down,8.669,,28.3584,
KSBP01,5/4/11 9:11,18.474,Down,8.6253,,28.3967,
KSBP01,5/4/11 9:11,18.959,Down,8.6192,,28.4024,
KSBP01,5/4/11 9:11,19.507,Down,8.6143,,28.4081,
KSBP01,5/4/11 9:11,20.031,Down,8.6061,,28.4148,
KSBP01,5/4/11 9:11,20.478,Down,8.5865,,28.429,
KSBP01,5/4/11 9:11,20.99,Down,8.5774,,28.4352,
KSBP01,5/4/11 9:11,21.526,Down,8.5684,,28.4429,
KSBP01,5/4/11 9:11,21.971,Down,8.5244,,28.4808,
KSBP01,5/4/11 9:11,22.485,Down,8.4895,,28.5142,
KSBP01,5/4/11 9:11,23.019,Down,8.478,,28.5284,
KSBP01,5/4/11 9:11,23.501,Down,8.4747,,28.5328,
KSBP01,5/4/11 9:11,23.981,Down,8.4655,,28.5444,
KSBP01,5/4/11 9:11,24.507,Down,8.4608,,28.5499,
KSBP01,5/4/11 9:11,24.973,Down,8.4605,,28.5503,
KSBP01,5/4/11 9:11,25.481,Down,8.4599,,28.5513,
KSBP01,5/4/11 9:11,26.012,Down,8.4523,,28.5598,
KSBP01,5/4/11 9:12,26.511,Down,8.4558,,28.5555,
KSBP01,5/4/11 9:12,27.035,Down,8.4584,,28.555,
KSBP01,5/4/11 9:12,27.51,Down,8.449,,28.5694,
KSBP01,5/4/11 9:12,27.975,Down,8.4412,,28.5748,
KSBP01,5/4/11 9:12,28.523,Down,8.4534,,28.5598,
KSBP01,5/4/11 9:12,29.015,Down,8.4493,,28.564,
KSBP01,5/4/11 9:12,29.477,Down,8.4529,,28.5595,
KSBP01,5/4/11 9:12,29.99,Down,8.4496,,28.5629,
KSBP01,5/4/11 9:12,30.353,Down,8.4498,,28.5648,
KSBP01,5/4/11 9:12,29.925,Up,8.4157,,28.5967,
KSBP01,5/4/11 9:12,29.487,Up,8.4437,,28.5724,
KSBP01,5/4/11 9:12,29.026,Up,8.4575,,28.5605,
KSBP01,5/4/11 9:12,28.492,Up,8.4541,,28.5624,
KSBP01,5/4/11 9:12,27.943,Up,8.4516,,28.5606,
KSBP01,5/4/11 9:12,27.453,Up,8.4499,,28.5608,
KSBP01,5/4/11 9:13,27.022,Up,8.4496,,28.5592,
KSBP01,5/4/11 9:13,26.539,Up,8.4498,,28.5575,
KSBP01,5/4/11 9:13,26.022,Up,8.4561,,28.5483,
KSBP01,5/4/11 9:13,25.493,Up,8.456,,28.5482,
KSBP01,5/4/11 9:13,24.988,Up,8.4573,,28.547,
KSBP01,5/4/11 9:13,24.512,Up,8.4641,,28.5392,
KSBP01,5/4/11 9:13,24.025,Up,8.464,,28.5393,
KSBP01,5/4/11 9:13,23.519,Up,8.4913,,28.5102,
KSBP01,5/4/11 9:13,23.002,Up,8.5118,,28.4905,
KSBP01,5/4/11 9:13,22.493,Up,8.5353,,28.4696,
KSBP01,5/4/11 9:13,22.02,Up,8.5542,,28.4538,
KSBP01,5/4/11 9:13,21.534,Up,8.5839,,28.4323,
KSBP01,5/4/11 9:13,20.985,Up,8.6138,,28.4094,
KSBP01,5/4/11 9:13,20.458,Up,8.621,,28.4031,
KSBP01,5/4/11 9:13,19.998,Up,8.6283,,28.3961,
KSBP01,5/4/11 9:14,19.503,Up,8.6327,,28.3921,
KSBP01,5/4/11 9:14,18.994,Up,8.6382,,28.3857,
KSBP01,5/4/11 9:14,18.508,Up,8.6455,,28.3785,
KSBP01,5/4/11 9:14,18.024,Up,8.6466,,28.3772,
KSBP01,5/4/11 9:14,17.509,Up,8.653,,28.3705,
KSBP01,5/4/11 9:14,17.021,Up,8.6702,,28.3541,
KSBP01,5/4/11 9:14,16.508,Up,8.7126,,28.3133,
KSBP01,5/4/11 9:14,15.986,Up,8.7536,,28.2723,
KSBP01,5/4/11 9:14,15.475,Up,8.7768,,28.2438,
KSBP01,5/4/11 9:14,15.018,Up,8.8309,,28.2024,
KSBP01,5/4/11 9:14,14.524,Up,8.9777,,28.1357,
KSBP01,5/4/11 9:14,14.014,Up,9.1366,,28.0129,
KSBP01,5/4/11 9:14,13.499,Up,9.1613,,27.9959,
KSBP01,5/4/11 9:14,13.009,Up,9.1769,,27.9848,
KSBP01,5/4/11 9:14,12.49,Up,9.1849,,27.9782,
KSBP01,5/4/11 9:14,11.996,Up,9.1984,,27.9567,
KSBP01,5/4/11 9:15,11.522,Up,9.2327,,27.9106,
KSBP01,5/4/11 9:15,10.973,Up,9.2409,,27.8905,
KSBP01,5/4/11 9:15,10.476,Up,9.2869,,27.8594,
KSBP01,5/4/11 9:15,9.987,Up,9.3981,,27.7858,
KSBP01,5/4/11 9:15,9.508,Up,9.4603,,27.7102,
KSBP01,5/4/11 9:15,9.012,Up,9.4667,,27.6916,
KSBP01,5/4/11 9:15,8.507,Up,9.4478,,27.626,
KSBP01,5/4/11 9:15,7.985,Up,9.5092,,27.5464,
KSBP01,5/4/11 9:15,7.487,Up,9.5809,,27.5256,
KSBP01,5/4/11 9:15,6.984,Up,9.6098,,27.5212,
KSBP01,5/4/11 9:15,6.463,Up,9.637,,27.5109,
KSBP01,5/4/11 9:15,5.992,Up,9.6356,,27.4827,
KSBP01,5/4/11 9:15,5.51,Up,9.6366,,27.4482,
KSBP01,5/4/11 9:15,5.034,Up,9.6092,,27.3905,
KSBP01,5/4/11 9:15,4.502,Up,9.5662,,27.335,
KSBP01,5/4/11 9:15,3.99,Up,9.57,,27.3169,
KSBP01,5/4/11 9:15,3.498,Up,9.5793,,27.3167,
KSBP01,5/4/11 9:15,2.987,Up,9.5053,,27.2837,
KSBP01,5/4/11 9:15,2.489,Up,9.4246,,27.2363,
KSBP01,5/4/11 9:15,1.986,Up,9.4143,,27.2262,
KSBP01,5/4/11 9:16,1.483,Up,9.408,,27.2175,
KSBP01,5/4/11 9:16,1.024,Up,9.4033,,27.2097,
KSBP01,5/4/11 9:16,0.519,Up,9.3461,,9.174,
KSBP01,5/16/11 9:03,1.373,Down,9.449,,27.8488,
KSBP01,5/16/11 9:04,1.963,Down,9.449,,27.852,
KSBP01,5/16/11 9:04,2.46,Down,9.4493,,27.8522,
KSBP01,5/16/11 9:04,2.98,Down,9.4508,,27.8568,
KSBP01,5/16/11 9:04,3.554,Down,9.4511,,27.8583,
KSBP01,5/16/11 9:04,3.948,Down,9.4505,,27.8563,
KSBP01,5/16/11 9:04,4.508,Down,9.4502,,27.8559,
KSBP01,5/16/11 9:04,4.904,Down,9.4502,,27.8559,
KSBP01,5/16/11 9:04,5.522,Down,9.451,,27.858,
KSBP01,5/16/11 9:04,5.982,Down,9.4507,,27.8561,
KSBP01,5/16/11 9:04,6.576,Down,9.4506,,27.8564,
KSBP01,5/16/11 9:04,7.015,Down,9.4492,,27.8666,
KSBP01,5/16/11 9:04,7.476,Down,9.4462,,27.8771,
KSBP01,5/16/11 9:04,7.948,Down,9.4298,,27.9064,
KSBP01,5/16/11 9:04,8.528,Down,9.3988,,27.9566,
KSBP01,5/16/11 9:04,9.074,Down,9.3569,,28.0165,
KSBP01,5/16/11 9:05,9.611,Down,9.2412,,28.1401,
KSBP01,5/16/11 9:05,10.004,Down,9.119,,28.2492,
