year,pdo
1999,-1.2083333333333333
2000,-1.835
2001,-0.8216666666666667
2002,-1.41
2003,0.2675
2004,-0.03166666666666667
2005,-0.08
2006,-0.2866666666666666
2007,-0.5675
2008,-0.9566666666666667
2009,-1.8191666666666668
2010,-0.36666666666666664
2011,-1.5325
2012,-1.8375
2013,-1.6375
2014,-0.8
2015,1.0183333333333333
2016,0.9225
2017,0.27666666666666667
2018,-0.245
2019,-0.39125
