year,trawl_dist_total
1999,7.4
2000,5.939
2001,7.4
2002,7.4
2003,7.3
2004,7.4
2005,7.4
2006,7.475
2007,7.4
2008,7.4
2009,7.4
2010,7.449
2011,6.08
2012,7.449
2013,7.439
2014,7.614
2015,7.475
2016,7.48
2017,7.471
2018,7.41
2019,7.4
